Dataset	Domain	Score	Sent1	Sent2
STS2016-gold	postediting		Embraer maintains its forecasts for delivery in 2008	Embraer maintains its forecasts for delivery in 2008
STS2016-gold	postediting		The latest James Bond, the English Daniel Craig, noted that no James Bond died before him.	The latest James Bond, the English Daniel Craig, noted that no James Bond died before him.
STS2016-gold	postediting		The actions of the Bank Goldman Sachs accusèrent a drop of almost 10%.	The shares of Goldman Sachs Bank showed a drop of almost 10%.
STS2016-gold	postediting		In Quebec, the committee Gélineau has fulfilled this mandate.	In Quebec, the committee Gélineau has fulfilled this mandate.
STS2016-gold	postediting		Negotiations for the ransom are already underway.	Negotiations to ransom are already underway.
STS2016-gold	postediting		It seems to be clear that it is better to buy a phone.	It seems to be clear that it is better to buy only a telephone.
STS2016-gold	postediting		I now come to the second new feature, which provides a fracture.	I now come to the second new feature, which provides a fracture.
STS2016-gold	postediting		Portraits of which, thanks to the choice of the camera and equipment, given the photograph classic.	According to the calculations of scientists, black matters accounts for a fifth of the mass of the universe.
STS2016-gold	postediting		Its fans have found in 1994 in The Hudsucker Proxy of the Coen brothers.	His fans saw him again in 1994 in The Hudsucker Proxy of the Coen brothers.
STS2016-gold	postediting		The biological clock am not afraid.	The biological clock does not scare me.
STS2016-gold	postediting		The journey is 75 euros, including the pot of welcome with a beer brewed Kaiser, according to the law of Bavarian purity, insurance and a responsible for the group speaking German - Marco has done a language courses in Frankfurt.	The journey costs 75 euros, including the welcome pot of Kaiser beer brewed according to the law of Bavarian purity, insurance and a responsible for the group speaking German - Marco has taken a language courses in Frankfurt.
STS2016-gold	postediting	1	The PCA (format used by the company and its Apple iPods taken from them), meanwhile, is less course.	AAC (the format used by Apple and its iPods), meanwhile, is less current.
STS2016-gold	postediting		They are several to wait in the warehouse at the airport near the red carpet and a military row of 27 marine soldiers.	They are several waiting in the hangar at the airport near the red carpet and a military row of 27 marine soldiers.
STS2016-gold	postediting		The interests of the loan will be paid by all companies that collect the dividends from the investors, including 59 building societies.	The interests of the loan will be paid by all companies that collect the money of savers, including 59 societies of the building.
STS2016-gold	question-question		Should I drink water during my workout?	How can I get my toddler to drink more water?
STS2016-gold	question-question		How do I stop my dog from jumping on me?	How do I make my dog forget a command?
STS2016-gold	question-question	4	How do I make a height adjustable desk?	How can I build a wall mounted adjustable height desk?
STS2016-gold	question-question		What is the best time and temperature for taste when cooking a salmon fillet in the oven?	What is the best oil to use when cooking in a wok?
STS2016-gold	question-question	4	How can I find out why my washing machine trips the outlet?	How can I figure out why my washing machine is tripping the GFCI receptacle?
STS2016-gold	question-question		What should I look for in a jump rope?	What should I look for in a running shoe?
STS2016-gold	question-question	5	Should I use IRA money to pay down my student loans?	Should I cash out my IRA to pay my student loans?
STS2016-gold	question-question		Do I need a UK transit visa for flying to the Canary Islands?	Do I need a transit visa at Amsterdam to stay in airport?
STS2016-gold	question-question		How do you remove paint from hair?	How can I remove paint from slotted screw heads?
STS2016-gold	question-question		Would a Colombian citizen with Canadian residency need a transit visa for the UK?	Does a UK Citizen with a foreign passport need a Visa to enter the UK?
STS2016-gold	question-question		How can I locate and repair a leak?	How can I locate and repair a break in a circuit?
STS2016-gold	question-question		How can I get my dog to slow down when eating?	How can I get my dog get used to a new small environment?
STS2016-gold	question-question	0	What is the best way to repair a cracked bathtub?	What is the best way to fix this garage floor?
STS2016-gold	question-question		How do I remove paint from a wood floor?	How can I remove a portion of a hardwood floor board?
STS2016-gold	question-question		How to strengthen my wrists?	How to strengthen calf muscles?
STS2016-gold	question-question		How to address a professor in letter?	How to cite a letter in an anthology?
STS2016-gold	question-question		What olive is a good taste substitute for Kalamata?	What is a good substitute for ground veal?
STS2016-gold	question-question		What does the scorpion represent in Drive?	What does the origami represent in Blade Runner?
STS2016-gold	question-question		How to select a workout plan?	How to create a workout plan?
STS2016-gold	question-question	4	What are the bus (coach) connections from Thessaloniki, Greece to Tbilisi, Georgia?	Is there a bus from Tbilisi, Georgia to Thessaloniki, Greece?
STS2016-gold	question-question		How can I get my colleagues to stop interrupting me?	How do I motivate my colleagues?
STS2016-gold	question-question		How do you remove paint from hair?	How do I remove paint from a wood floor?
STS2016-gold	question-question		How does arbitration work in baseball?	How does velveting work?
STS2016-gold	question-question		How can I use persimmons in a cooked dish?	How do I recognize if a dish cannot be cooked in a gas oven?
STS2016-gold	question-question		If lost in the wilderness, what is the first thing I should do?	What is the most important survival tool I should have when in the wilderness?
STS2016-gold	question-question		What is the PhD application process for Germany and Switzerland?	What is the process for PhD applications and contacting professors in France?
STS2016-gold	question-question		How can I replace a ceiling fan light pull chain?	How can I replace a recessed light with a ceiling fan?
STS2016-gold	question-question		How can I work out how valuable I am to my boss and company?	How can I explain to my boss that I am not able to complete a task?
STS2016-gold	question-question		What is the best way to store fresh berries?	What is the best way to store homemade sauces?
STS2016-gold	question-question		Do I need a UK transit visa when flying from Lebanon to Ireland?	Do I need a transit visa at Amsterdam to stay in airport?
STS2016-gold	question-question		What can I do to make my writing fit the 1950s?	Can I do anything to make my gas oven better?
STS2016-gold	question-question		How do I prepare a wall for backsplash tile?	How should I prepare a sub-floor for porcelain tile?
STS2016-gold	question-question		Is there a way to find out if I need a transit visa for a layover in the UK?	Does one need to fill in a form for a Visa On Arrival?
STS2016-gold	question-question		How do I wire a bathroom exhaust fan/light to two switches?	How do I install a bathroom exhaust system?
STS2016-gold	question-question		How can I stop my pie from burning?	How can I stop sweaty hands?
STS2016-gold	question-question		How to build plastic prototype?	How to build disassemblable structure?
STS2016-gold	question-question		Do I need a teacher to learn violin?	Do I need to write a bibliography?
STS2016-gold	question-question		How to get funding for this idea?	How to get rid of this shed?
STS2016-gold	question-question		How can I explain to my boss that I am not able to complete a task?	How to I make my dog understand that I want him to go to a certain spot?
STS2016-gold	question-question		Is it possible to replace a switch with a receptacle?	Is it possible to replace a ceiling fan speed controller with a switch?
STS2016-gold	question-question		How long can I safely keep a thawing pork shoulder in the fridge?	How long can I keep a leg of ham in the fridge?
STS2016-gold	question-question		What is the correct way to secure a gas standalone range?	What is the correct way to read a gas meter?
STS2016-gold	question-question		How can I manage applying for 2 more jobs when I already have a part time job?	How can I put my resume online when I already have a job?
STS2016-gold	question-question		How do I make my dog forget a command?	How do I fix a door frame that my dog chewed?
STS2016-gold	question-question		How much thinset is enough?	How much copying is okay?
STS2016-gold	question-question		Do I need a UK transit visa when flying from Lebanon to Ireland?	Do I need a visa to transit India?
STS2016-gold	question-question		How can I prevent my ferrets from smelling bad?	How can I prevent my ferrets from chewing on wires?
STS2016-gold	question-question	2	How can I replace a ceiling fan light pull chain?	How can I replace my light fixture with a ceiling fan?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a transit visa for layover in Italy?
STS2016-gold	question-question	3	How can I connect additional wires to a receptacle?	How do I connect the wires to this USB receptacle?
STS2016-gold	question-question	0	What kind of socket is this?	What type of faucet is this?
STS2016-gold	question-question	0	What is the difference between a stock and a bond?	What is the difference between a mode and a scale?
STS2016-gold	question-question		What does this tablature notation mean?	What does the conversation mean?
STS2016-gold	question-question	2	How do I maintain a good relationship with my old boss after being promoted?	How do I maintain a good relationship with an employer after resigning?
STS2016-gold	question-question		Is there a way to find out if I need a transit visa for a layover in the UK?	Do I need a transit visa for a stop in London?
STS2016-gold	question-question		Where could the air in the water system be coming from?	Where could water be coming from inside the joint between bathtub and wall tiles?
STS2016-gold	question-question		What are the types of Guitar available and what are the pros and cons of each?	What are the pros and cons of storing bread in various locations?
STS2016-gold	question-question		How to get rid of oversleeping?	How to get rid of weevils?
STS2016-gold	question-question		How long should it take to read a paper?	How long should it take to get a Russian passport?
STS2016-gold	question-question		How do I install switches in this box?	How do I install this sump basin?
STS2016-gold	question-question		Do I need a UK transit visa for flying to the Canary Islands?	What visa do I need to visit my uncle in the UK?
STS2016-gold	question-question		How do I clean the bottom of a gas grill?	How do I clean a pasta maker?
STS2016-gold	question-question		How High Can I Raise My Lights?	Can I use my dehydrator to raise bread?
STS2016-gold	question-question		What is the difference between a Rollover IRA and a Roth IRA?	What is the difference between a filler word and a discourse marker?
STS2016-gold	question-question		Where can I find a good vocabulary list?	Where can I find the dividend history for a stock?
STS2016-gold	question-question		How can I wire my WIFI thermostat to control my millivolt fireplace?	How can I add tile to my fireplace?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need an airport transit visa through Switzerland if I have a Schengen visa?
STS2016-gold	question-question		What is the difference between a stock and a bond?	What is the difference between a prawn and a shrimp?
STS2016-gold	question-question		Is it safe to travel to Turkey at this time (August 2013)?	Is it safe to travel to Kiev at the moment?
STS2016-gold	question-question		How can I help my dog adjust to a move?	How can I get my dog get used to a new small environment?
STS2016-gold	question-question		What instrument is this?	What is this Chord Notation?
STS2016-gold	question-question		How much water is too much?	Drinking how much water is considered too much water?
STS2016-gold	question-question		How do I reconnect a ceiling fan light chain?	How do I connect a ceiling fan without a light kit?
STS2016-gold	question-question		How do you teach a toddler not to share?	How to teach a toddler how to treat a book?
STS2016-gold	question-question		How can I get my dog to slow down when eating?	How can I get my dog to stop being so sensitive to noise?
STS2016-gold	question-question		How should I ground a GFCI to a metal box?	How should I connect to a short ground wire in a metal box?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a UK or Ireland transit visa when flying from the US to a Schengen country?
STS2016-gold	question-question		Do I need a UK transit visa for flying to the Canary Islands?	Do I need a transit visa in Paris and Panama?
STS2016-gold	question-question		What is the actual difference between Graduate and Undergraduate texts?	what is the difference between Erebor and Moria?
STS2016-gold	question-question		How can I control a bath fan with two lights through a single wire?	How can I replace a single switch with two switches?
STS2016-gold	question-question		How does one invent a cookie recipe?	How does the number of eggs affect a cookie recipe?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a transit visa for layover in Luanda?
STS2016-gold	question-question		What is the difference between EFTA and the EU?	What is the difference between chicken cubes and ground chicken?
STS2016-gold	question-question	5	How do I keep an egg from cracking while being boiled?	How do I prevent an egg cracking while hard boiling it?
STS2016-gold	question-question		What kind of spider web is this - and how do I get rid of it?	How do I get rid of this mould?
STS2016-gold	question-question	3	How can I prepare this old exterior wall for painting?	How do I prepare this porous interior wall for paint?
STS2016-gold	question-question		What is the difference between analog and digital effects pedals?	What is the difference between portamento and glissando?
STS2016-gold	question-question		How can I control a bath fan with two lights through a single wire?	How do I wire a bath fan?
STS2016-gold	question-question	3	Why is there no water in the kitchen?	Why is there no hot water in the kitchen?
STS2016-gold	question-question		How can I get rid of springtails?	How can I get rid of mosquitoes?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a UK transit visa when travelling in the grace period of a J1 visa?
STS2016-gold	question-question		What are the types of Guitar available and what are the pros and cons of each?	What are the pros and cons of feeding on demand?
STS2016-gold	question-question		How to address a professor in letter?	How to address a person in a letter?
STS2016-gold	question-question		What is the difference between a stock and a bond?	What is the difference between a bond and a debenture?
STS2016-gold	question-question		How do I fix a hole/gap between my shower tile and the dry wall next to it?	How do I fill a gap between my hearth and the hardwood frame around it?
STS2016-gold	question-question		What is the difference between a stock and a bond?	What is the difference between portamento and glissando?
STS2016-gold	question-question		What do I do with the neutral and ground when wiring a transfer switch?	How do I wire a switch when the wire colors do not match?
STS2016-gold	question-question		How do I retrieve a detached plunger from a bathtub drain?	How do I replace a bathtub drain trip lever?
STS2016-gold	question-question		How do I stop my dog from jumping on me?	How can I stop my pie from burning?
STS2016-gold	question-question		What is the best way to repair a cracked bathtub?	What is the best way to filter the Turkish coffee?
STS2016-gold	question-question		What is the difference between assertive and non-assertive words?	What is the difference between a diphthong and a glide?
STS2016-gold	question-question		What are the pros and cons of setting up a 529 plan for myself?	What are the pros and cons of being co-supervised?
STS2016-gold	question-question		Do I need a UK transit visa when flying from Lebanon to Ireland?	Do I need a transit Visa when changing terminals in LHR(UK)?
STS2016-gold	question-question	3	What more can I do to improve my credit score?	Can I pay a collection agency in a way that will improve my credit score?
STS2016-gold	question-question		What is the difference between an amp and a head?	What is the difference between a copula and a transitive verb?
STS2016-gold	question-question		What is the difference between mono and stereo?	what is the difference between Erebor and Moria?
STS2016-gold	question-question		How should I fill in pits in a concrete floor so I can install laminate?	How can I paint a concrete floor?
STS2016-gold	question-question		Which job title to use?	Which survey software to use?
STS2016-gold	question-question		How do I make my own chocolate chips?	I want to make my own cheese. How do I get started?
STS2016-gold	question-question		Layover at Narita for 3 hours. Do i need a transit visa?	Do I need a transit visa in Paris and Panama?
STS2016-gold	question-question		What kind of socket is this?	What is type of screw is this?
STS2016-gold	question-question	4	How do I track investment performance in Quicken across rollovers?	How do I track 401k rollovers in Quicken?
STS2016-gold	question-question		What are the pros and cons of buying a house using an FHA loan?	What are the pros and cons of feeding on demand?
STS2016-gold	question-question		How can I stop my pre-schooler from whining?	How can I stop my pie from burning?
STS2016-gold	question-question		What kind of socket is this?	What kind of trade is this?
STS2016-gold	question-question		Is it normal for cats to eat grass?	Is it normal for a cat to eat moths?
STS2016-gold	question-question		What is the origin of cheese dip?	What is the origin of the black/devil riders?
STS2016-gold	question-question		Should I contact an editor at the journal that rejected my paper, to ask for feedback?	Should I resubmit a rejected paper to the same journal?
STS2016-gold	question-question	2	Can I ask a company what I should wear to an interview?	What should I ask as an applicant in a job interview?
STS2016-gold	question-question	5	How do you remove mold from a tent?	How do I remove mildew from a tent?
STS2016-gold	question-question		What is the best way to toast pecans?	What is the best way to store fresh berries?
STS2016-gold	question-question		How can I make sifting easier?	How can I make an exterior door?
STS2016-gold	question-question		Should I declare my job application at a meeting?	Should I remind recruiters about my job application status?
STS2016-gold	question-question		How can I help my dog adjust to a move?	How can I help a dog to lose weight?
STS2016-gold	question-question		Can I travel to Paris with a type A multiple entry visa valid for 3 years?	Can I travel to Finland with a multiple entry visa issued for Italy?
STS2016-gold	question-question		What is the difference between a stock and a bond?	What is the difference between a complication/twist and a situation?
STS2016-gold	question-question	2	U.S. income tax & charitable donations: How much is income tax reduced by donations?	UK income tax & charitable donations: How much is income tax reduced by donations?
STS2016-gold	question-question		How do I replace the front door on a stucco house?	How can I replace the seal on the bottom of my shower door?
STS2016-gold	question-question		Do I need a UK transit visa for flying to the Canary Islands?	Do I need a transit visa?
STS2016-gold	question-question		How can I make an improvised vegetable steamer?	How can I make an exterior door?
STS2016-gold	question-question	3	Bar ware - What kind of glass is this?	What kind of glass is this?
STS2016-gold	question-question	1	Would a Colombian citizen with Canadian residency need a transit visa for the UK?	Will I Need a Transit visa or ESTA for the US as a Canadian?
STS2016-gold	question-question	4	Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a UK airside transit visa, if I already have a UK visitor visa?
STS2016-gold	question-question		How much water is too much?	How much thinset is enough?
STS2016-gold	question-question		What should I look for in a jump rope?	What should I look for in a rope for climbing?
STS2016-gold	question-question		How long can you keep chocolate in the freezer?	How long should you keep Salami for?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Can I apply for US visa while I am a visitor in Canada?
STS2016-gold	question-question		What to look for when choosing a new bathtub?	Should I look for a new job?
STS2016-gold	question-question		What are the pros and cons of Jefferson vs conventional deadlifts?	What are the pros and cons of feeding on demand?
STS2016-gold	question-question		How does arbitration work in baseball?	How does leverage work?
STS2016-gold	question-question	1	Is it possible to replace a switch with a receptacle?	Is it safe to replace a switch with a dimmer on halogen spots?
STS2016-gold	question-question		How High Can I Raise My Lights?	How can I determine why my lights are flickering?
STS2016-gold	question-question		Is there a way to find out if I need a transit visa for a layover in the UK?	Transit Visa in the UK?
STS2016-gold	question-question		How can I remove wax from a wooden counter so I can resurface it with Danish oil?	How can I remove paint from a wood deck so I can stain it?
STS2016-gold	question-question	3	Do I really need a redundant sump pump?	Do I need to install a sump pump?
STS2016-gold	question-question	4	Layover at Narita for 3 hours. Do i need a transit visa?	Layover at Narita, Japan. Do I need a transit visa?
STS2016-gold	question-question		How can I remove a key that has broken off in a lock?	How can I remove a jammed, broken key from a lock?
STS2016-gold	question-question		What should I look for in a jump rope?	What should I look for in electronic measurement of body composition?
STS2016-gold	question-question		How long boiled egg can be stored in fridge?	How long can formula be stored in fridge and freezer?
STS2016-gold	question-question		How do I stop my daughter from hitting another child?	How do my wife and I stop our son from learning to swear from us?
STS2016-gold	question-question		What is the difference between an amp and a head?	What is the difference between a conservatory and an orangery?
STS2016-gold	question-question		what are the pros and cons of structured deposits?	What are the pros and cons of feeding on demand?
STS2016-gold	question-question		How do I teach my toddler to chew his food?	How do I teach my toddler not to stuff her cheeks with food?
STS2016-gold	question-question	2	Can I connect two load lines to a GFCI receptacle?	How can I connect additional wires to a receptacle?
STS2016-gold	question-question	3	How can I work out how valuable I am to my boss and company?	How can I convince my boss I am the right person to lead a future team?
STS2016-gold	question-question		How do you buy the right train ticket in the UK?	Do I have to validate train tickets in the UK?
STS2016-gold	question-question		Do I need to ground my above ground pool / with saltwater system?	Do I need to ground my pool?
STS2016-gold	question-question		How do I reconnect a ceiling fan light chain?	How do I install a ceiling fan remote?
STS2016-gold	question-question		How can I thaw a frozen exterior drain quickly?	How can I move a drain line?
STS2016-gold	question-question		How should I install a thermostat for a baseboard heater?	Do you have to have a thermostat for an electrical baseboard heater?
STS2016-gold	question-question		Can I connect my 50 amp generator to a 30 Amp plug?	How can I connect my 30 amp electric dryer to a 50 amp plug?
STS2016-gold	question-question	2	How do I replace a broken halogen bulb in the recessed light in my bathroom?	How can I replace the bulb in this ceiling fan?
STS2016-gold	question-question		How do I remedy a ledger board that is pulling away from the house?	How do I fix a vinyl covering that is coming away from the outside deck support beam?
STS2016-gold	question-question		What is the likelihood of a PhD admission if a professor agrees to supervise?	What is the value to a student of a professor offering to supervise their PhD?
STS2016-gold	question-question		How long does cooked TVP keep in the fridge?	How long does cooked pasta last in the fridge?
STS2016-gold	question-question		Will getting a secured credit card to buy a single expensive item hurt my credit or help it?	Will getting a second credit card help my credit rating?
STS2016-gold	question-question		How familiar should you be with a topic before assigning it as a thesis to an undergraduate?	As a student, how should I ask a professor for an opportunity to do research with them?
STS2016-gold	question-question		How long does tortilla dough keep for?	How long should you keep Salami for?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a UK transit visa when flying from Lebanon to Ireland?
STS2016-gold	question-question		What are the types of Guitar available and what are the pros and cons of each?	What are the different types of drywall anchors, and what are the advantages of each?
STS2016-gold	question-question		How can I deaden the vibration noise of a box fan?	How can I reduce the noise from a bathroom fan?
STS2016-gold	question-question		How do you reduce a cream sauce?	How do you open a coconut?
STS2016-gold	question-question		What are the types of Guitar available and what are the pros and cons of each?	What are the pros and cons of doubling on two brass instruments?
STS2016-gold	question-question		How long can I keep sauteed onions in the fridge?	How can I store chopped onions in the fridge without the smell?
STS2016-gold	question-question	3	Do I need to apply for ESTA?	Flying from California to Texas: do I need ESTA?
STS2016-gold	question-question		How can I get my colleagues to stop interrupting me?	How can I stop my pie from burning?
STS2016-gold	question-question	2	How should I patch a popcorn ceiling?	Should I replace or patch a plaster ceiling?
STS2016-gold	question-question		What are the principles of improvisation in newgrass music?	What are the principles of improvisation in Indian music?
STS2016-gold	question-question		How does Elimination Communication work?	How does leverage work?
STS2016-gold	question-question		Can I do anything to make my gas oven better?	What Steps Should I Take to Troubleshoot My Gas Oven?
STS2016-gold	question-question		What are Automatic Garage Door Options for a Garage with a Low Ceiling Clearance?	What are my lighting options for a pole-barn garage?
STS2016-gold	question-question		What can I do to make my writing fit the 1950s?	What can I do to make my writing less choppy?
STS2016-gold	question-question		Can I continue to travel within the US on an expired visa?	Can I travel within the US with an expired visa?
STS2016-gold	question-question		How should I make a budget?	How should I translate this?
STS2016-gold	question-question		How do I reconnect a ceiling fan light chain?	How do I wire a ceiling fan?
STS2016-gold	question-question		How hard is it to get an academic position in Australia/New Zealand with a PhD from the US?	How hard is it for a graduate from Canada to find an employment in the US?
STS2016-gold	question-question		How should I store eggs in the refrigerator?	How should I store steaks in the freezer?
STS2016-gold	question-question		I accepted an offer, then the company stopped responding. Do I keep chasing the offer?	Do I tell recruiter whose offer I will decline, the details of the offer that I have accepted?
STS2016-gold	question-question		How does muscle confusion work?	How does leverage work?
STS2016-gold	question-question		How do I make a pot of coffee on a bbq grill?	How to make good coffee in a Moka pot?
STS2016-gold	question-question		What are some songs/music piece that I can use to practice Violin?	What are some materials that I can use to build a chalkboard?
STS2016-gold	question-question	2	Travelling to Romania for 4 days by Schengen visa issued by Germany?	Travelling to Romania on a short stay Schengen visa issued by France?
STS2016-gold	question-question		How hard is it to get an academic position in Australia/New Zealand with a PhD from the US?	Is it more difficult to score a Tenure Track position in the US when applying from outside?
STS2016-gold	question-question	4	Is it ok to apply for more than one Phd student program?	Is it advisable to apply to more than one PhD program?
STS2016-gold	question-question		How familiar should you be with a topic before assigning it as a thesis to an undergraduate?	How to decide if an advisor should be considered as a co-author of a paper or not?
STS2016-gold	question-question		What are the pros and cons of feeding on demand?	What are the pros and cons of using a nanny-cam?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need to apply for a visa to enter to South Korea if I already got Aus visa?
STS2016-gold	question-question		What are the pros and cons of feeding on demand?	What are the pros and cons of LED lighting for home use?
STS2016-gold	question-question		What is the best way to toast pecans?	What is the best way to treat a jammed finger?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Do I require a transit visa for Cuba?
STS2016-gold	question-question		Do I need to update my resume when not looking for a job?	How do I highlight my portfolio when applying to jobs that just ask for cover letter and CV?
STS2016-gold	question-question		What was the average percentage of taxes in Europe during the Middle Ages?	What was the average size of French families during the Middle Ages?
STS2016-gold	question-question	0	What is the best way to toast pecans?	What is the best way to introduce cats to newborns?
STS2016-gold	question-question		What should I look for in a jump rope?	What should I look for in a good metronome?
STS2016-gold	question-question	0	What is the best way to repair a cracked bathtub?	What is the best way to clean a grater?
STS2016-gold	question-question		How can I get my dog to slow down when eating?	How can I train my dog to behave for grooming?
STS2016-gold	question-question		How is rental income taxed?	How is income earned on a J1 student visa taxed?
STS2016-gold	question-question		Do I need to update my resume when not looking for a job?	What should I consider before wearing Google Glass to a job interview when I do development for them?
STS2016-gold	question-question		How do I find out whether my flight has WiFi?	How can I find out my credit-score?
STS2016-gold	question-question		How do I raise my garage ceiling after spray foaming?	How do I raise my box bed?
STS2016-gold	question-question		What should I look for in a new car (automobile)?	What should I look for in a new kitchen knife set?
STS2016-gold	question-question	1	What is the best way to store fresh berries?	What is the best way to store chopped vegetables?
STS2016-gold	question-question		What does paying by invoice mean?	What does overhead rate mean?
STS2016-gold	question-question		How do you keep up with a toddler?	How do you teach a toddler not to share?
STS2016-gold	question-question		Do I need a UK transit visa when flying from Lebanon to Ireland?	Do I need a UK or Ireland transit visa when flying from the US to a Schengen country?
STS2016-gold	question-question		Is there a term for the opposite of the Chuck Cunningham Syndrome?	Is there a name for the inverse of the impostor syndrome?
STS2016-gold	question-question		What kind of socket is this?	What kind of lightbulb is this?
STS2016-gold	question-question		Do we NEED to help a baby learn how to self-sooth? And how long can it take?	How can I learn how to focus better?
STS2016-gold	question-question		How do I fix this leaking dishwasher drain pipe?	How can I fix a leaking sprinkler valve?
STS2016-gold	question-question		What could be wrong with my furnace?	What could be wrong with my dryer timer?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a transit visa?
STS2016-gold	question-question		Should I look for a new job?	Moved to a new country and not enjoying the new job, should I look for a new one?
STS2016-gold	question-question		How to get rid of oversleeping?	How to get rid of cellulite?
STS2016-gold	question-question	1	What is the best way to store fresh berries?	What is the best way to store carrots?
STS2016-gold	question-question		Reapplying to same PhD program after one year, should I state I applied the previous year?	Should I apply for PhD program this year after one semester of research experience, or wait another year?
STS2016-gold	question-question		What could be causing my GFCI to trip?	What could be causing my AFCI to trip?
STS2016-gold	question-question		Is it right to expect my co-workers to have the same dedication to work as mine?	Is it okay to give a gift to my research mentor who happens to be the dean?
STS2016-gold	question-question		What is the difference between an amp and a head?	what is the difference between Erebor and Moria?
STS2016-gold	question-question		How can I determine how much my car insurance will cost me?	How can I find out how much a dealer would really pay for my car?
STS2016-gold	question-question		In the Avengers movie, why did they close the portal?	Why was the Avengers movie called something different in the UK?
STS2016-gold	question-question		Is it normal for a 12-year-old to have Vibrato?	Is it normal for a kitten to have a big belly?
STS2016-gold	question-question		Do I need a UK transit visa for flying to the Canary Islands?	Do I need a transit visa for Germany on the way to Canada?
STS2016-gold	question-question		How can I stop my fireplace from disabling my thermostat?	How can I stop my pie from burning?
STS2016-gold	question-question		What happened at the end of Rocky?	What happened at the end of Her?
STS2016-gold	question-question	0	What is the best way to store fresh berries?	What is the best way to cite an anonymous writer?
STS2016-gold	question-question	4	How do I remove paint from a wood floor?	How can I remove small paint specks from a wooden floor?
STS2016-gold	question-question		How can I explain to my boss that I am not able to complete a task?	How to politely tell my boss that I want to take on a different role?
STS2016-gold	question-question		If lost in the wilderness, what is the first thing I should do?	What should I do if I feel the pilot is guiding the flight in the wrong direction?
STS2016-gold	question-question		Can I patent work after I have published a paper about it?	I found out that I have plagiarism in my published journal papers, what should I do now?
STS2016-gold	question-question		How do you keep up with a toddler?	How do you keep a toddler safe around water?
STS2016-gold	question-question	2	Why is compensation so much higher in the US than in Western Europe on average?	Why is interest on MMA lower in the US than in Europe?
STS2016-gold	question-question		How do I reheat a casserole in the oven?	How do I reheat a casserole in the microwave?
STS2016-gold	question-question		Is there a way to find out if I need a transit visa for a layover in the UK?	Do I need a transit visa for a technical stop in Australia?
STS2016-gold	question-question		What is the difference between an amp and a head?	What is the difference between a school and a department?
STS2016-gold	question-question		What is the difference between an electronic and a magnetic ballast?	What is the difference between customs and immigration?
STS2016-gold	question-question		What are the pros and cons of Jefferson vs conventional deadlifts?	What are the pros and cons of eating 1-3 grapefruits every day?
STS2016-gold	question-question		What is a mezrag-holder?	What is a timeshare?
STS2016-gold	question-question		How do I stop my dog from jumping on me?	How do I stop toothpaste from piling up on the cover?
STS2016-gold	question-question		As a postdoc, how to make sure I get credit for helping undergrad and grad students?	As a student, how should I ask a professor for an opportunity to do research with them?
STS2016-gold	question-question		What parameter is best to increase - time or temperature?	What is the best temperature to store honey at?
STS2016-gold	question-question		What kind of material do I need above the tile line in my shower?	What kind of water filter do I need?
STS2016-gold	question-question		Can I connect two load lines to a GFCI receptacle?	How can I install a new bathroom GFCI receptacle?
STS2016-gold	question-question		Replacing a hot water heater: tank or tankless?	Calculate savings from/cost-effectiveness of installing a tankless hot water heater?
STS2016-gold	question-question	5	What could be wrong with my air conditioner?	What could be wrong with my A/C unit?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Do i need a transit visa for Paris if i have a Schengen visa issued by Portugal?
STS2016-gold	question-question		What are the types of Guitar available and what are the pros and cons of each?	What are the pros and cons of using a nanny-cam?
STS2016-gold	question-question	2	What is the significance of the cat?	What is the significance of the abstract painting?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Flying USA to UK via Canada with Spanish passport. Do I need to apply for a visa?
STS2016-gold	question-question		What is the motivation behind using the 2-3-2 (vs. 2-2-1-1-1) series format for the NBA Finals?	What is the rationale behind the choice of animation style for The Clone Wars series (2008-2014)?
STS2016-gold	question-question		How do I reconnect a ceiling fan light chain?	How do I wire a ceiling fan with a light kit?
STS2016-gold	question-question	3	Should I let potential employers know I have a job offer?	Should I tell my boss I have a full time job offer?
STS2016-gold	question-question		What would be a good substitute for Rice Wine?	What is a good pine nut substitute for pesto?
STS2016-gold	question-question		How do I clean reclaimed wood from construction?	How do I remove paint from a wood floor?
STS2016-gold	question-question		What could be wrong with my furnace?	What could be wrong with my A/C unit?
STS2016-gold	question-question		How should I use heat tape?	How should I translate this?
